City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sabzevar,76,IR,1520906608,85,36.21,57.68,43.02,3.6
1,san ramon,0,NI,1520906908,89,12.92,-85.84,68.76,2.37
2,neckarsulm,75,DE,1520904000,87,49.19,9.22,44.6,6.93
3,hilo,40,US,1520902560,64,19.71,-155.08,75.2,5.82
4,edenderry,20,IE,1520904600,93,53.34,-7.05,37.4,9.17
5,tiksi,8,RU,1520906632,76,71.64,128.87,-25.39,4.38
6,fortuna,0,ES,1520904600,58,38.18,-1.13,55.4,6.93
7,jamestown,0,AU,1520906915,92,-33.21,138.6,66.33,7.74
8,hobart,40,AU,1520904600,46,-42.88,147.33,69.8,11.41
9,butaritari,80,KI,1520906916,100,3.07,172.79,82.89,12.33
10,ushuaia,75,AR,1520906400,70,-54.81,-68.31,44.6,10.29
11,puerto ayora,92,EC,1520906917,100,-0.74,-90.35,77.22,3.15
12,partizanskoye,8,UA,1520906918,81,44.83,34.08,39.24,8.97
13,rikitea,68,PF,1520906672,100,-23.12,-134.97,80.01,13.44
14,aripuana,36,BR,1520906919,91,-9.17,-60.63,78.57,1.7
15,thompson,40,CA,1520902800,49,55.74,-97.86,26.6,3.36
16,marsaxlokk,0,MT,1520903700,76,35.84,14.54,57.2,11.41
17,bluff,36,AU,1520906921,37,-23.58,149.07,88.02,14.12
18,georgetown,40,GY,1520906400,94,6.8,-58.16,73.4,6.93
19,newport,0,GB,1520904000,93,51.59,-3.0,42.8,8.05
20,monte patria,0,CL,1520906923,93,-30.69,-70.96,49.23,1.59
21,albany,90,US,1520904360,69,42.65,-73.75,39.2,6.93
22,khatanga,0,RU,1520906715,57,71.98,102.47,-32.5,4.72
23,port hawkesbury,40,CA,1520905560,79,45.62,-61.36,28.4,4.7
24,zeya,0,RU,1520906925,52,53.74,127.27,16.83,3.71
25,isangel,75,VU,1520902800,84,-19.55,169.27,86.0,9.17
26,dongobesh,92,TZ,1520906926,95,-4.07,35.37,58.23,2.37
27,saryg-sep,76,RU,1520906926,78,51.49,95.55,18.63,2.93
