City Names,Cloudiness (%),Humidity (%),Latitude,Longitude,Temp (F),Wind Speed (mph)
mahebourg,40,78,-20.41,57.7,82.4,13.87
yellowknife,90,69,62.45,-114.38,-9.41,16.11
havoysund,0,73,71,24.66,23,21.92
rikitea,80,99,-23.12,-134.97,80.14,18.03
usinsk,76,83,66,57.56,11.61,7.07
rundu,24,88,-17.91,19.77,66.2,2.24
severo-kurilsk,12,100,50.68,156.12,24.97,14.41
bredasdorp,48,83,-34.53,20.04,71.6,5.82
busselton,0,78,-33.64,115.35,76.95,15.41
hamilton,75,64,32.3,-64.78,68,21.92
winslow,12,88,51.94,-0.88,30.43,9.17
cayenne,90,78,4.94,-52.33,80.6,10.29
thessalon,90,71,46.26,-83.55,6.66,6.51
yamada,20,86,36.58,137.08,33.8,4.7
ushuaia,75,70,-54.81,-68.31,46.4,6.93
riyadh,0,43,24.63,46.72,48.07,3.89
magadan,75,86,59.56,150.8,33.8,31.32
mnogovershinnyy,64,64,53.94,139.92,-0.23,7.52
vaini,0,46,15.34,74.49,82.75,8.52
nanortalik,92,96,60.14,-45.24,27,5.35
tautira,40,78,-17.73,-149.15,80.6,18.34
barrow,12,34,-38.31,-60.23,72.13,17.2
tapes,48,87,-30.67,-51.4,69.61,9.64
shahrud,48,69,36.42,54.97,20.38,3.04
ushuaia,75,70,-54.81,-68.31,46.4,6.93
georgetown,0,94,6.8,-58.16,73.4,4.7
cocorit,0,70,27.57,-109.96,58.95,2.04
hibbing,1,75,47.43,-92.94,-16.01,2.89
nouadhibou,0,98,20.93,-17.03,53.59,16.87
dauphin,1,82,51.15,-100.04,-18.41,2.24
bethel,20,78,60.79,-161.76,10.4,12.75
ambilobe,20,100,-13.19,49.05,79.11,4.34
leningradskiy,8,86,69.38,178.42,12.78,5.91
albany,90,68,42.65,-73.75,28.89,6.93
severo-yeniseyskiy,56,67,60.37,93.04,4.63,3.71
castro,0,91,-42.48,-73.76,52.69,12.62
busselton,0,78,-33.64,115.35,76.95,15.41
bethel,20,78,60.79,-161.76,10.4,12.75
oromocto,90,78,45.85,-66.47,16.77,11.41
svetlogorsk,0,69,53.14,59.15,-9.41,2.24
hermanus,80,90,-34.42,19.24,65.65,0.47
tamandare,20,95,-8.28,-70.75,74.38,2.1
ushuaia,75,70,-54.81,-68.31,46.4,6.93
yellowknife,90,69,62.45,-114.38,-9.41,16.11
rikitea,80,99,-23.12,-134.97,80.14,18.03
qaanaaq,0,85,77.48,-69.36,-20.21,6.91
petropavlovsk-kamchatskiy,75,74,53.05,158.65,30.2,11.18
katsuura,75,51,33.93,134.5,39.2,16.11
igrim,80,80,63.19,64.42,10.71,6.24
kholm,92,97,57.15,31.18,31.68,9.86
vaini,0,46,15.34,74.49,82.75,8.52
ushuaia,75,70,-54.81,-68.31,46.4,6.93
salinas,1,81,36.67,-121.66,54.54,1.7
tuktoyaktuk,90,75,69.44,-133.03,-11.17,12.75
dunedin,12,52,-45.87,170.5,78.21,6.02
kropotkin,92,98,45.43,40.58,35.28,8.81
hermanus,80,90,-34.42,19.24,65.65,0.47
atuona,76,98,-9.8,-139.03,81.94,19.89
rikitea,80,99,-23.12,-134.97,80.14,18.03
karratha,88,37,-20.74,116.85,94.63,4.38
puro,64,87,13.13,123.76,80.14,6.13
rikitea,80,99,-23.12,-134.97,80.14,18.03
doha,0,54,25.29,51.53,59,9.17
chimore,88,98,-16.98,-65.13,69.52,2.48
leningradskiy,8,86,69.38,178.42,12.78,5.91
lebu,12,71,8.96,38.73,55.53,4
tiksi,12,70,71.64,128.87,-36.5,3.27
ushuaia,75,70,-54.81,-68.31,46.4,6.93
isangel,92,100,-19.55,169.27,79.42,13.11
albany,90,68,42.65,-73.75,28.89,6.93
cidreira,100,94,-30.17,-50.22,70.51,8.81
hermanus,80,90,-34.42,19.24,65.65,0.47
morondava,0,87,-20.3,44.28,83.65,3.6
moratuwa,40,78,6.77,79.88,80.6,12.75
kutum,0,50,14.2,24.66,45.04,12.1
niigata,75,69,37.91,139.04,33.8,18.34
cherskiy,68,68,68.75,161.3,31.9,8.86
mahebourg,40,78,-20.41,57.7,82.4,13.87
yellowknife,90,69,62.45,-114.38,-9.41,16.11
dikson,68,96,73.51,80.55,18,11.77
rikitea,80,99,-23.12,-134.97,80.14,18.03
aklavik,90,75,68.22,-135.01,-18.41,5.82
saint-francois,90,93,46.42,3.91,44.6,2.77
nome,1,65,30.04,-94.42,46.04,3.36
longyearbyen,75,78,78.22,15.63,10.4,12.75
jamestown,92,95,-33.21,138.6,54.49,13.33
cidreira,100,94,-30.17,-50.22,70.51,8.81
butaritari,88,100,3.07,172.79,82.71,13.67
hovd,75,100,63.83,10.7,32.72,5.82
qaanaaq,0,85,77.48,-69.36,-20.21,6.91
ust-kan,36,64,50.93,84.77,8.01,1.36
ziro,20,77,27.54,93.82,60.8,4.7
hobart,75,67,-42.88,147.33,59,12.75
annau,20,52,37.89,58.52,19.4,1.12
georgetown,0,94,6.8,-58.16,73.4,4.7
brae,76,94,60.4,-1.35,41,18.34
pisco,48,93,-13.71,-76.2,66.96,1.54
nederland,1,53,29.97,-93.99,48.96,5.82
hobart,75,67,-42.88,147.33,59,12.75
souillac,90,87,45.6,-0.6,47.21,2.24
nicoya,0,65,10.15,-85.45,80.6,27.51
chuy,0,91,-33.69,-53.46,65.02,9.82
avarua,90,78,-21.21,-159.78,82.4,4.7
hope,90,87,49.38,-121.43,42.8,18.34
isangel,92,100,-19.55,169.27,79.42,13.11
longyearbyen,75,78,78.22,15.63,10.4,12.75
baruun-urt,8,65,46.68,113.28,12.55,12.06
ixtapa,75,61,20.71,-105.21,77,4.7
takoradi,8,100,4.89,-1.75,77.44,5.28
ushuaia,75,70,-54.81,-68.31,46.4,6.93
tessalit,92,44,20.2,1.01,65.74,9.82
liverpool,0,100,53.41,-2.98,35.6,4.7
avarua,90,78,-21.21,-159.78,82.4,4.7
tuktoyaktuk,90,75,69.44,-133.03,-11.17,12.75
rikitea,80,99,-23.12,-134.97,80.14,18.03
guanica,75,78,17.97,-66.91,73.22,9.17
mataura,0,33,-46.19,168.86,84.33,19.33
nouadhibou,0,98,20.93,-17.03,53.59,16.87
qaanaaq,0,85,77.48,-69.36,-20.21,6.91
vilhena,12,96,-12.74,-60.15,70.51,2.04
fortuna,40,87,38.18,-1.13,46.4,2.24
lebu,12,71,8.96,38.73,55.53,4
manokwari,80,100,-0.87,134.08,82.53,13.44
ilulissat,64,70,69.22,-51.1,1.4,9.17
rikitea,80,99,-23.12,-134.97,80.14,18.03
bethel,20,78,60.79,-161.76,10.4,12.75
kailua,90,73,21.39,-157.74,74.71,5.82
kaitangata,20,32,-46.28,169.85,84.06,6.35
kamoke,20,71,31.97,74.22,53.6,6.93
kadiri,0,48,14.11,78.16,81.63,8.41
atuona,76,98,-9.8,-139.03,81.94,19.89
albany,90,68,42.65,-73.75,28.89,6.93
